Value,Reference,Manufacturer,Manufacturer Part Number,Distributor link,Price per unit,Qty,
Battery,"BT1,BT2,BT3,BT4",,,https://www.aliexpress.com/item/1005005859082063.html?spm=a2g0o.productlist.main.1.1df5jx7ljx7lIi&algo_pvid=285806a0-1c6c-4173-9bfc-c3eb5fdcf159&algo_exp_id=285806a0-1c6c-4173-9bfc-c3eb5fdcf159-0&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2165.20%2142.38%21%21%2144.16%2128.71%21%40%2112000034645083199%21sea%21CA%213114729883%21X&curPageLogUid=6vDQujQCxMPw&utparam-url=scene%3Asearch%7Cquery_from%3A,5.6725,4,22.69
10nF,"C1,C2,C4,C5,C6,C13,C14,C15",,C0805C103J3GECAUTO,https://www.digikey.ca/en/products/detail/kemet/C0805C103J3GECAUTO/8647361,0.247,8,1.976
10uF,"C3,C10,C46,C47",,CL31B106KAHNNNE,https://www.digikey.ca/en/products/detail/murata-electronics/GRM155R71C104KA88J/2610892,0.15,4,0.6
,,,,,,,0
0.1uF,"C7,C8,C9,C12,C17,C18,C19,C20,C21",Murata Electronics,"CC0805JRNPO9BN250,GCM155R71C104KA55J","https://www.digikey.ca/en/products/detail/murata-electronics/GCM155R71C104KA55J/2591252,https://www.digikey.ca/en/products/detail/yageo/CC0805JRNPO9BN250/5884044",0.043,9,0.387
100uF,C11,,GRM31CR61A107MEA8L,https://www.digikey.ca/en/products/detail/murata-electronics/GRM31CR61A107MEA8L/16033775,0.72,1,0.72
22uF,C23,Kemet,C0805C224K5RACTU,https://www.digikey.ca/en/products/detail/kemet/C0805C224K5RACTU/754753,0.12,1,0.12
RGBW_LED,"D1,D6,D7",  QT Brightek (QTB),QBLP679-RGBCW ,https://www.digikey.ca/en/products/detail/qt-brightek-qtb/QBLP679-RGBCW/13278847?s=N4IgTCBcDaIIoCEAyAFAbAdgJwFoBKA4ggMIDqIAugL5A,1.19,3,3.57
BLUE LED,D3, Wurth,150080BS75000,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/150080BS75000/4489912,0.3,1,0.3
RED LED,D5,ams-OSRAM USA INC.,LS R976-NR-1-0-20-R18,https://www.digikey.ca/en/products/detail/ams-osram-usa-inc/LS-R976-NR-1-0-20-R18/1227987,0.24,1,0.24
Polyfuse,F1,,1206L025/24YR,https://www.digikey.ca/en/products/detail/littelfuse-inc/1206L025-24YR/14320017,0.85,1,0.85
Polyfuse_Small,F3,Littelfuse Inc.,1812L014DR,https://www.digikey.ca/en/products/detail/littelfuse-inc/1812L014DR/2023961,0.75,1,0.75
Fiducial,"FID1,FID3",,,,,2,0
MountingHole_Pad_MP,"H5,H6,H7,H8,H9",,,,,5,0
Battery connector,J1,,B2B-PH-K-S,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/B2B-PH-K-S/926611?utm_source=chatgpt.com,0.18,1,0.18
StrainConn,"J2,J3,J4,J5,J6,J7,J8,J9",Würth Elektronik,6.91E+11,https://www.digikey.ca/en/products/detail/w-rth-elektronik/691137710003/6644052?gad_source=1&gad_campaignid=19908957344&gbraid=0AAAAADrbLljCdYpa1-0cHUoNv0IbjWDmn&gclid=CjwKCAjw56DBBhAkEiwAaFsG-pR-dF3_ijIpWVXm_dcaRN9GoRUwuFHoA1T9jlMmxpQfm0rzGZDbphoCMpMQAvD_BwE&gclsrc=aw.ds,,8,0
Jumper_3_Bridged12,JP2,,,,,1,0
1uH,L1,TDK Corporation,MLP2012S1R0MT0S1,https://www.digikey.ca/en/products/detail/tdk-corporation/MLP2012S1R0MT0S1/2465121,0.36,1,0.36
Battery Holder,N1,"Seeed Technology Co., Ltd",114090052,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/114090052/10451909?s=N4IgTCBcDaIDoBcAEAhAggFQ0gEgeQBkARAUQCUkBGADgDYBWABiQBYkBhEggpAktIgGUQAXQC%2BQA,2.19,1,2.19
NMOS,Q3,,NTR4003NT3G,https://www.digikey.ca/en/products/detail/onsemi/NTR4003NT3G/1967271?gclsrc=aw.ds&&utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&productid=1967271&utm_content=General&utm_id=go_cmp-17855401585_adg-_ad-__dev-c_ext-_prd-1967271_sig-CjwKCAjwq7fABhB2EiwAwk-YbFJqpYQlYIhkgtWqhIxcVob4GPSdEPXc6bIcNIfS9s96qRU90U7eOhoCR2AQAvD_BwE&gad_source=1&gbraid=0AAAAADrbLli6YGlW8y5wc6i5rQyT2Z2qc&gclid=CjwKCAjwq7fABhB2EiwAwk-YbFJqpYQlYIhkgtWqhIxcVob4GPSdEPXc6bIcNIfS9s96qRU90U7eOhoCR2AQAvD_BwE&gclsrc=aw.ds,0.35,1,0.35
PMOS,"Q4,Q6",,NVTR01P02LT1G,https://www.digikey.ca/en/products/detail/onsemi/NVTR01P02LT1G/5969313?gclsrc=aw.ds&&utm_adgroup=General&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Zombie%20SKUs&utm_term=&productid=5969313&utm_content=General&utm_id=go_cmp-17855401585_adg-_ad-__dev-c_ext-_prd-5969313_sig-CjwKCAjwq7fABhB2EiwAwk-YbCdzxZ8I_ROXJb3JHufdx-zHWTW_khwVTeU3PeYqFBXyUwEnEgnIlhoCDXMQAvD_BwE&gad_source=1&gbraid=0AAAAADrbLli6YGlW8y5wc6i5rQyT2Z2qc&gclid=CjwKCAjwq7fABhB2EiwAwk-YbCdzxZ8I_ROXJb3JHufdx-zHWTW_khwVTeU3PeYqFBXyUwEnEgnIlhoCDXMQAvD_BwE&gclsrc=aw.ds,0.71,2,1.42
15K +-1%,R1,,CRG0805F15K,https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CRG0805F15K/2380847,0.16,1,0.16
1.5K,R2,KOA Speer,RT0603BRC07500RL,https://www.mouser.ca/ProductDetail/KOA-Speer/RN73H1JTTD1501B25?qs=0hon8nwgHrYeDaFLswFLGw%3D%3D,0.098,1,0.098
1.6K +-1%,"R10,R12,R14,R21,R22,R23,R24,R25",YAGEO,RC0402FR-071K6L,https://www.digikey.ca/en/products/detail/yageo/RC0402FR-071K6L/5280905,0.012,8,0.096
330 +-5%,"R11,R13",,CR0805-JW-331ELF,https://www.mouser.ca/ProductDetail/Bourns/CR0805-JW-331ELF?qs=%252BcBkmVQIZ2RP8aX1cRFLQQ%3D%3D,0.16,2,0.32
0K +-1%,"R15,R30",,RCL06120000Z0EA,https://www.digikey.ca/en/products/detail/vishay-dale/RCL06120000Z0EA/2587612,0.27,2,0.54
10K +-1%,"R16,R17,R20",Bourns Inc,CR0603-FX-1002ELF,https://www.digikey.ca/en/products/detail/bourns-inc/CR0603-FX-1002ELF/3593188,0.16,3,0.48
3.3K +-1%,R19,,RC0805FR-073K3L,https://www.digikey.ca/en/products/detail/yageo/RC0805FR-073K3L/727813,0.16,1,0.16
,,,,,,,0
,,,,,,,0
SW_SPST_LED,SW2,,RR11131100-214,https://www.mouser.ca/ProductDetail/E-Switch/RR11131100-214?qs=QtyuwXswaQjGPOeo3RY%2FxQ%3D%3D,2.04,1,2.04
TestPoint,"TP3,TP4,TP5,TP60,TP63,TP64,TP65",,,,,7,0
,,,,,,,0
MRF89XAM9AT-I/RM,U2,,150-MRF89XAM9AT-I/RMDKR-ND,https://www.digikey.ca/en/products/detail/microchip-technology/MRF89XAM9AT-I-RM/10520347?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Supplier_Focus%20Supplier&utm_term=&productid=10520347&utm_content=&utm_id=go_cmp-20282403582_adg-_ad-__dev-c_ext-_prd-10520347_sig-CjwKCAjw-qi_BhBxEiwAkxvbkL1anCtEOgZTHZnwc2xR1OXgP8zKw0z9FnALtF3LaodaGyvZDBLx-RoCnGEQAvD_BwE&gad_source=1&gclid=CjwKCAjw-qi_BhBxEiwAkxvbkL1anCtEOgZTHZnwc2xR1OXgP8zKw0z9FnALtF3LaodaGyvZDBLx-RoCnGEQAvD_BwE&gclsrc=aw.ds,12.7,1,12.7
